product_line,product_type,product_desc,product_cost
Personal Accessories,Watches,Mountain Man Digital,200
Personal Accessories,Watches,Mountain Man Deluxe,200
Personal Accessories,Watches,Mountain Man Combination,
Personal Accessories,Knives,Edge Extreme,
Personal Accessories,Binoculars,Seeker Mini,
Personal Accessories,Eyewear,Inferno,
Personal Accessories,Watches,Infinity,
Personal Accessories,Eyewear,Maximus,
Personal Accessories,Watches,TX,
Personal Accessories,Navigation,Astro Pilot,
Personal Accessories,Watches,Mountain Man Extreme,
Personal Accessories,Eyewear,Polar Ice,
Personal Accessories,Knives,Single Edge,
Personal Accessories,Knives,Bear Edge,
Personal Accessories,Navigation,Glacier GPS,
Personal Accessories,Eyewear,Capri,
Personal Accessories,Eyewear,Cat Eye,
Personal Accessories,Eyewear,Dante,
Personal Accessories,Watches,Lux,
Personal Accessories,Binoculars,Opera Vision,
Personal Accessories,Watches,Sam,
Personal Accessories,Eyewear,Trendi,
Personal Accessories,Eyewear,Hawk Eye,
Personal Accessories,Navigation,Sky Pilot,
Personal Accessories,Navigation,Auto Pilot,
Personal Accessories,Watches,Kodiak,
Personal Accessories,Knives,Bear Survival Edge,
Personal Accessories,Binoculars,Seeker 35,
Personal Accessories,Binoculars,Seeker 50,
Personal Accessories,Binoculars,Seeker Extreme,
Personal Accessories,Eyewear,Bella,
Personal Accessories,Watches,Venue,
Personal Accessories,Eyewear,Fairway,
Personal Accessories,Knives,Pocket Gizmo,
Personal Accessories,Binoculars,Ranger Vision,
Personal Accessories,Navigation,Trail Scout,
Personal Accessories,Watches,Legend,
Personal Accessories,Watches,Zodiak,
Personal Accessories,Watches,Mountain Man Analog,
Personal Accessories,Eyewear,Polar Sun,
Personal Accessories,Eyewear,Polar Sports,
Personal Accessories,Eyewear,Polar Wave,
Personal Accessories,Eyewear,Polar Extreme,
Personal Accessories,Knives,Double Edge,
Personal Accessories,Navigation,Glacier Basic,
Personal Accessories,Navigation,Glacier Deluxe,
Personal Accessories,Navigation,Glacier GPS Extreme,
Personal Accessories,Knives,Max Gizmo,
Personal Accessories,Navigation,Trail Master,
Personal Accessories,Navigation,Trail Star,
Personal Accessories,Eyewear,Zone,
Personal Accessories,Eyewear,Retro,
